product_id,category,brand,base_price,launch_date,is_premium
1,Grocery,Brand_58,14.19,2021-08-02,0
2,Fashion,Brand_1,25.8,2021-09-14,0
3,Electronics,Brand_70,165.46,2021-01-18,1
4,Fashion,Brand_56,75.45,2023-03-03,1
5,Sports,Brand_1,72.5,2022-04-19,1
6,Fashion,Brand_39,57.08,2023-09-16,0
7,Beauty,Brand_42,27.23,2023-05-17,0
8,Home,Brand_41,121.82,2021-02-16,1
9,Home,Brand_73,25.37,2023-03-11,0
10,Home,Brand_61,84.11,2022-08-21,1
11,Sports,Brand_8,77.71,2022-04-20,1
12,Fashion,Brand_20,14.74,2021-07-27,0
13,Home,Brand_39,61.81,2022-06-15,1
14,Home,Brand_57,73.61,2023-05-02,1
15,Sports,Brand_88,100.75,2022-11-13,1
16,Grocery,Brand_28,15.92,2021-12-18,0
17,Electronics,Brand_75,146.18,2022-08-27,1
18,Sports,Brand_49,72.39,2022-05-08,1
19,Sports,Brand_81,128.05,2022-03-23,1
20,Home,Brand_16,123.17,2022-12-11,1
21,Fashion,Brand_49,56.9,2021-10-11,0
22,Electronics,Brand_67,119.11,2021-01-18,1
23,Electronics,Brand_62,59.39,2023-01-18,0
24,Home,Brand_61,67.65,2023-07-06,1
25,Home,Brand_9,74.82,2023-06-10,1
26,Fashion,Brand_2,57.72,2021-10-04,0
27,Home,Brand_49,52.75,2022-08-09,0
28,Beauty,Brand_4,30.7,2022-01-20,0
29,Beauty,Brand_25,43.46,2022-01-29,0
30,Grocery,Brand_47,15.22,2021-02-27,0
31,Fashion,Brand_28,45.83,2023-03-04,0
32,Home,Brand_78,62.62,2022-11-13,1
33,Beauty,Brand_35,38.6,2022-09-17,0
34,Fashion,Brand_95,58.08,2023-12-22,0
35,Electronics,Brand_37,113.67,2023-08-03,1
36,Grocery,Brand_19,9.68,2023-12-11,0
37,Fashion,Brand_27,60.77,2023-01-21,0
38,Home,Brand_28,133.41,2021-06-05,1
39,Fashion,Brand_62,37.9,2021-01-03,0
40,Home,Brand_12,104.36,2022-11-09,1
41,Beauty,Brand_23,11.2,2023-10-17,0
42,Electronics,Brand_5,77.43,2021-03-19,1
43,Grocery,Brand_72,14.63,2021-05-25,0
44,Electronics,Brand_16,123.03,2021-03-06,1
45,Grocery,Brand_18,30.56,2021-07-24,0
46,Home,Brand_14,174.24,2021-08-06,1
47,Fashion,Brand_34,42.69,2022-08-15,0
48,Fashion,Brand_60,25.13,2021-10-20,0
49,Beauty,Brand_26,41.44,2021-06-22,0
50,Grocery,Brand_76,18.63,2021-02-01,0
51,Fashion,Brand_2,59.09,2021-12-22,0
52,Grocery,Brand_98,16.33,2022-05-03,0
53,Home,Brand_72,117.76,2023-10-08,1
54,Grocery,Brand_90,11.32,2021-02-04,0
55,Grocery,Brand_91,19.82,2021-07-07,0
56,Grocery,Brand_83,9.6,2021-01-31,0
57,Electronics,Brand_25,181.95,2022-05-24,1
58,Home,Brand_86,154.54,2023-10-15,1
59,Sports,Brand_94,113.38,2022-07-29,1
60,Electronics,Brand_84,297.63,2021-06-26,1
61,Home,Brand_36,85.58,2021-05-29,1
62,Sports,Brand_59,70.45,2023-04-24,1
63,Beauty,Brand_87,11.75,2023-11-07,0
64,Electronics,Brand_98,73.84,2022-06-13,1
65,Sports,Brand_79,87.61,2023-05-23,1
66,Fashion,Brand_83,54.05,2023-07-22,0
67,Beauty,Brand_93,37.7,2021-07-11,0
68,Home,Brand_44,49.36,2022-07-05,0
69,Home,Brand_52,97.71,2023-09-02,1
70,Home,Brand_51,127.77,2021-07-03,1
71,Beauty,Brand_91,35.93,2022-08-27,0
72,Fashion,Brand_25,41.24,2023-04-03,0
73,Fashion,Brand_84,55.22,2022-09-04,0
74,Fashion,Brand_36,19.19,2023-06-05,0
75,Home,Brand_24,28.14,2021-05-11,0
76,Fashion,Brand_52,77.61,2022-10-10,1
77,Sports,Brand_25,92.24,2023-09-18,1
78,Home,Brand_6,148.88,2023-01-02,1
79,Beauty,Brand_95,46.28,2021-06-15,0
80,Electronics,Brand_7,160.82,2022-06-18,1
81,Fashion,Brand_68,37.83,2022-10-23,0
82,Fashion,Brand_69,62.58,2021-05-16,1
83,Home,Brand_37,43.62,2023-10-17,0
84,Home,Brand_74,83.57,2023-06-25,1
85,Fashion,Brand_14,72.41,2022-12-22,1
86,Electronics,Brand_20,86.69,2023-12-21,1
87,Electronics,Brand_24,270.57,2021-08-05,1
88,Home,Brand_51,99.8,2021-07-31,1
89,Fashion,Brand_84,45.07,2023-02-14,0
90,Grocery,Brand_98,17.32,2023-10-18,0
91,Home,Brand_97,64.05,2023-01-30,1
92,Sports,Brand_8,55.34,2021-12-06,0
93,Electronics,Brand_27,81.17,2023-05-24,1
94,Fashion,Brand_99,68.63,2021-09-04,1
95,Fashion,Brand_10,87.96,2021-07-16,1
96,Home,Brand_57,174.04,2022-12-12,1
97,Sports,Brand_38,64.51,2022-12-15,1
98,Electronics,Brand_6,79.4,2022-03-03,1
99,Grocery,Brand_47,17.83,2022-08-07,0
100,Fashion,Brand_56,23.85,2023-02-06,0
101,Beauty,Brand_79,36.56,2023-11-24,0
102,Grocery,Brand_18,8.33,2023-10-04,0
103,Fashion,Brand_52,67.44,2023-10-22,1
104,Grocery,Brand_58,7.98,2022-09-14,0
105,Home,Brand_43,85.77,2023-06-19,1
106,Home,Brand_27,101.38,2023-04-30,1
107,Beauty,Brand_59,29.8,2023-09-08,0
108,Grocery,Brand_48,19.69,2023-09-07,0
109,Beauty,Brand_72,24.48,2022-05-01,0
110,Home,Brand_22,117.45,2023-11-29,1
111,Home,Brand_13,114.33,2021-02-07,1
112,Fashion,Brand_59,88.5,2021-08-16,1
113,Grocery,Brand_24,13.51,2023-09-29,0
114,Home,Brand_16,63.29,2022-11-26,1
115,Grocery,Brand_10,9.01,2023-09-02,0
116,Grocery,Brand_16,8.43,2022-03-04,0
117,Grocery,Brand_69,26.36,2023-04-19,0
118,Grocery,Brand_51,16.44,2022-03-01,0
119,Fashion,Brand_7,45.54,2022-05-26,0
120,Fashion,Brand_34,130.64,2023-12-17,1
121,Beauty,Brand_73,39.46,2021-10-07,0
122,Home,Brand_69,123.68,2023-03-29,1
123,Sports,Brand_77,97.08,2021-04-12,1
124,Home,Brand_4,116.12,2022-01-16,1
125,Grocery,Brand_52,14.97,2021-04-09,0
126,Sports,Brand_88,47.88,2022-01-30,0
127,Electronics,Brand_60,116.18,2022-11-01,1
128,Electronics,Brand_67,190.41,2021-12-14,1
129,Beauty,Brand_52,9.81,2023-02-09,0
130,Electronics,Brand_96,107.68,2023-10-02,1
131,Fashion,Brand_18,72.5,2021-08-02,1
132,Electronics,Brand_5,97.99,2022-08-08,1
133,Fashion,Brand_39,112.91,2023-12-16,1
134,Sports,Brand_3,57.18,2022-08-06,0
135,Electronics,Brand_56,152.19,2022-05-09,1
136,Home,Brand_97,52.68,2023-12-07,0
137,Electronics,Brand_72,121.92,2022-03-28,1
138,Fashion,Brand_60,33.36,2021-04-11,0
139,Home,Brand_92,62.55,2023-11-14,1
140,Sports,Brand_78,43.31,2023-11-30,0
141,Electronics,Brand_9,81.11,2022-10-21,1
142,Home,Brand_6,56.35,2022-06-21,0
143,Fashion,Brand_75,39.86,2022-03-05,0
144,Fashion,Brand_83,53.71,2023-02-15,0
145,Electronics,Brand_7,151.04,2022-12-19,1
146,Grocery,Brand_93,10.81,2022-07-06,0
147,Electronics,Brand_54,123.47,2021-09-06,1
148,Electronics,Brand_41,112.0,2022-04-16,1
149,Electronics,Brand_89,163.21,2022-07-02,1
150,Home,Brand_22,62.73,2021-08-15,1
151,Beauty,Brand_48,58.76,2021-06-07,0
152,Fashion,Brand_4,53.33,2021-12-28,0
153,Sports,Brand_89,69.39,2023-06-17,1
154,Fashion,Brand_84,47.35,2023-04-10,0
155,Fashion,Brand_6,56.66,2021-05-01,0
156,Home,Brand_27,90.3,2023-05-07,1
157,Beauty,Brand_29,18.65,2023-07-05,0
158,Electronics,Brand_42,150.23,2023-03-14,1
159,Grocery,Brand_81,20.39,2023-06-28,0
160,Fashion,Brand_9,51.23,2022-05-30,0
161,Grocery,Brand_80,9.92,2021-08-28,0
162,Beauty,Brand_86,37.11,2021-12-11,0
163,Electronics,Brand_43,82.09,2023-02-10,1
164,Electronics,Brand_84,191.17,2021-02-23,1
165,Fashion,Brand_100,55.18,2021-10-14,0
166,Sports,Brand_61,56.33,2022-12-02,0
167,Grocery,Brand_87,30.69,2022-07-01,0
168,Electronics,Brand_88,83.9,2022-01-05,1
169,Electronics,Brand_8,108.03,2022-12-06,1
170,Grocery,Brand_99,13.11,2022-10-08,0
171,Electronics,Brand_29,217.92,2021-08-17,1
172,Electronics,Brand_94,72.02,2021-05-02,1
173,Home,Brand_27,109.33,2023-01-28,1
174,Grocery,Brand_95,18.46,2023-05-06,0
175,Electronics,Brand_38,95.94,2021-07-20,1
176,Beauty,Brand_12,24.94,2021-12-03,0
177,Electronics,Brand_14,152.66,2023-12-12,1
178,Home,Brand_44,67.46,2021-06-05,1
179,Electronics,Brand_4,191.2,2023-05-27,1
180,Sports,Brand_47,55.68,2022-08-05,0
181,Fashion,Brand_89,53.1,2022-05-24,0
182,Home,Brand_68,46.71,2022-01-03,0
183,Fashion,Brand_56,24.9,2023-12-28,0
184,Electronics,Brand_48,164.5,2021-09-19,1
185,Sports,Brand_84,87.76,2022-06-21,1
186,Fashion,Brand_64,54.89,2023-12-18,0
187,Home,Brand_97,78.87,2021-08-08,1
188,Beauty,Brand_9,29.48,2021-06-18,0
189,Electronics,Brand_84,252.95,2022-04-19,1
190,Electronics,Brand_52,166.89,2022-04-20,1
191,Sports,Brand_47,57.05,2021-06-11,0
192,Electronics,Brand_13,173.6,2023-09-13,1
193,Beauty,Brand_62,21.33,2022-05-27,0
194,Sports,Brand_68,76.61,2023-02-28,1
195,Fashion,Brand_25,53.09,2022-09-08,0
196,Electronics,Brand_31,94.73,2022-09-10,1
197,Fashion,Brand_58,62.85,2022-08-02,1
198,Electronics,Brand_38,77.74,2023-06-10,1
199,Electronics,Brand_39,223.41,2022-10-01,1
200,Home,Brand_87,72.31,2022-09-09,1
201,Beauty,Brand_68,39.11,2021-03-31,0
202,Fashion,Brand_29,42.74,2021-05-06,0
203,Electronics,Brand_83,115.47,2023-07-03,1
204,Electronics,Brand_68,82.59,2021-08-24,1
205,Home,Brand_84,63.24,2023-04-17,1
206,Home,Brand_86,51.19,2023-10-14,0
207,Fashion,Brand_50,96.99,2023-12-13,1
208,Grocery,Brand_84,9.09,2021-08-21,0
209,Electronics,Brand_73,81.39,2023-05-05,1
210,Home,Brand_88,83.07,2022-12-29,1
211,Electronics,Brand_87,84.18,2021-03-19,1
212,Fashion,Brand_34,54.47,2023-07-11,0
213,Home,Brand_6,45.75,2021-07-08,0
214,Electronics,Brand_12,118.06,2022-11-02,1
215,Electronics,Brand_91,111.47,2023-12-03,1
216,Home,Brand_88,83.49,2023-01-08,1
217,Beauty,Brand_44,35.67,2023-11-20,0
218,Electronics,Brand_30,74.5,2023-07-25,1
219,Beauty,Brand_82,55.59,2021-04-19,0
220,Electronics,Brand_84,122.34,2021-12-02,1
221,Fashion,Brand_30,42.32,2021-05-13,0
222,Home,Brand_3,80.73,2021-07-14,1
223,Electronics,Brand_6,399.36,2023-02-22,1
224,Fashion,Brand_34,81.02,2023-07-16,1
225,Home,Brand_50,49.62,2021-07-20,0
226,Home,Brand_84,66.82,2023-08-17,1
227,Fashion,Brand_8,80.44,2023-10-16,1
228,Fashion,Brand_89,42.33,2022-10-02,0
229,Home,Brand_51,122.93,2021-02-15,1
230,Electronics,Brand_80,94.61,2021-06-08,1
231,Electronics,Brand_37,93.76,2021-03-22,1
232,Home,Brand_73,91.28,2021-11-10,1
233,Home,Brand_56,154.81,2021-08-08,1
234,Electronics,Brand_71,165.54,2023-06-15,1
235,Grocery,Brand_50,10.91,2022-07-25,0
236,Sports,Brand_65,98.39,2021-11-07,1
237,Fashion,Brand_93,55.96,2022-02-09,0
238,Beauty,Brand_73,27.0,2021-04-25,0
239,Fashion,Brand_7,41.26,2022-10-18,0
240,Home,Brand_67,51.09,2023-02-23,0
241,Grocery,Brand_78,14.09,2023-11-24,0
242,Beauty,Brand_45,23.82,2021-05-17,0
243,Sports,Brand_47,40.24,2023-11-03,0
244,Grocery,Brand_40,21.24,2021-10-31,0
245,Beauty,Brand_53,18.83,2023-10-10,0
246,Electronics,Brand_54,64.53,2022-03-30,1
247,Fashion,Brand_74,45.45,2023-09-15,0
248,Fashion,Brand_38,44.57,2023-10-15,0
249,Electronics,Brand_45,67.23,2022-07-10,1
250,Fashion,Brand_8,16.37,2021-04-27,0
251,Fashion,Brand_50,67.75,2022-05-05,1
252,Fashion,Brand_54,74.8,2022-06-14,1
253,Beauty,Brand_18,17.49,2022-12-30,0
254,Fashion,Brand_75,45.5,2023-12-17,0
255,Home,Brand_58,56.63,2021-02-10,0
256,Electronics,Brand_78,152.16,2022-12-02,1
257,Home,Brand_38,80.37,2022-12-17,1
258,Grocery,Brand_91,12.22,2022-05-28,0
259,Sports,Brand_63,58.69,2023-02-07,0
260,Home,Brand_10,126.65,2021-07-05,1
261,Electronics,Brand_92,53.49,2022-03-05,0
262,Home,Brand_99,91.8,2021-09-30,1
263,Fashion,Brand_48,43.49,2022-03-26,0
264,Home,Brand_60,140.24,2022-04-17,1
265,Home,Brand_64,33.43,2021-12-14,0
266,Grocery,Brand_83,20.9,2022-03-12,0
267,Sports,Brand_100,43.84,2023-01-05,0
268,Electronics,Brand_58,196.6,2021-02-24,1
269,Electronics,Brand_53,121.81,2022-01-05,1
270,Beauty,Brand_5,32.14,2022-12-26,0
271,Grocery,Brand_10,44.99,2022-05-26,0
272,Sports,Brand_18,69.02,2023-04-17,1
273,Fashion,Brand_79,43.07,2021-04-10,0
274,Beauty,Brand_87,31.96,2021-04-23,0
275,Grocery,Brand_7,14.76,2023-05-17,0
276,Electronics,Brand_3,80.73,2022-05-19,1
277,Grocery,Brand_57,10.96,2023-01-27,0
278,Fashion,Brand_7,33.38,2021-04-19,0
279,Electronics,Brand_70,137.97,2023-12-12,1
280,Grocery,Brand_62,15.96,2023-06-23,0
281,Grocery,Brand_78,18.07,2023-08-24,0
282,Sports,Brand_51,90.1,2022-08-11,1
283,Electronics,Brand_17,104.81,2022-03-26,1
284,Grocery,Brand_62,8.58,2022-04-01,0
285,Electronics,Brand_64,197.18,2021-09-16,1
286,Beauty,Brand_5,29.38,2023-12-22,0
287,Electronics,Brand_4,159.92,2021-07-01,1
288,Sports,Brand_14,63.18,2022-12-11,1
289,Home,Brand_87,77.34,2021-12-15,1
290,Sports,Brand_1,109.97,2022-03-31,1
291,Home,Brand_82,54.51,2022-05-31,0
292,Electronics,Brand_5,138.05,2022-02-19,1
293,Beauty,Brand_78,31.91,2022-06-16,0
294,Beauty,Brand_35,23.69,2023-01-20,0
295,Grocery,Brand_59,9.48,2023-02-06,0
296,Fashion,Brand_95,48.4,2022-02-28,0
297,Beauty,Brand_63,15.41,2023-02-25,0
298,Grocery,Brand_65,18.25,2023-07-22,0
299,Sports,Brand_31,39.56,2021-02-02,0
300,Electronics,Brand_31,76.33,2021-08-25,1
301,Grocery,Brand_73,12.84,2023-05-24,0
302,Grocery,Brand_95,12.29,2022-09-22,0
303,Fashion,Brand_48,44.4,2023-11-27,0
304,Beauty,Brand_36,29.7,2023-08-17,0
305,Home,Brand_3,68.67,2023-03-07,1
306,Sports,Brand_9,96.37,2021-12-08,1
307,Grocery,Brand_36,15.44,2021-09-02,0
308,Sports,Brand_31,77.05,2021-07-17,1
309,Home,Brand_98,98.88,2022-08-01,1
310,Electronics,Brand_100,152.97,2021-12-17,1
311,Fashion,Brand_30,55.24,2021-04-02,0
312,Fashion,Brand_77,61.86,2021-03-26,1
313,Fashion,Brand_36,59.58,2021-04-24,0
314,Beauty,Brand_5,49.33,2021-04-14,0
315,Home,Brand_63,76.56,2023-05-28,1
316,Electronics,Brand_57,288.45,2021-05-03,1
317,Fashion,Brand_74,51.41,2021-12-28,0
318,Fashion,Brand_36,42.0,2023-10-07,0
319,Home,Brand_68,50.76,2022-05-20,0
320,Grocery,Brand_81,10.98,2023-01-08,0
321,Sports,Brand_81,87.18,2021-06-14,1
322,Grocery,Brand_43,42.01,2022-07-31,0
323,Fashion,Brand_44,80.5,2023-04-22,1
324,Fashion,Brand_95,89.67,2022-03-23,1
325,Electronics,Brand_5,233.18,2022-11-15,1
326,Grocery,Brand_96,12.2,2021-08-15,0
327,Grocery,Brand_8,14.72,2023-06-11,0
328,Grocery,Brand_45,29.71,2021-12-17,0
329,Sports,Brand_76,75.55,2021-06-01,1
330,Fashion,Brand_33,30.41,2022-04-17,0
331,Home,Brand_21,85.11,2022-07-24,1
332,Beauty,Brand_23,21.34,2022-02-01,0
333,Beauty,Brand_19,61.78,2021-12-17,1
334,Home,Brand_65,73.08,2021-12-21,1
335,Electronics,Brand_56,76.62,2021-07-28,1
336,Fashion,Brand_24,117.63,2023-06-15,1
337,Home,Brand_100,74.5,2023-05-17,1
338,Sports,Brand_35,41.77,2022-07-24,0
339,Grocery,Brand_61,18.15,2021-11-27,0
340,Sports,Brand_84,50.81,2021-04-17,0
341,Home,Brand_80,111.82,2021-11-04,1
342,Beauty,Brand_97,16.94,2023-01-01,0
343,Electronics,Brand_13,175.43,2022-06-27,1
344,Home,Brand_44,68.56,2023-04-08,1
345,Home,Brand_8,60.51,2023-08-13,0
346,Fashion,Brand_81,55.24,2022-04-16,0
347,Home,Brand_41,44.64,2021-09-07,0
348,Beauty,Brand_47,35.23,2023-07-26,0
349,Sports,Brand_8,49.33,2021-12-10,0
350,Fashion,Brand_41,19.04,2022-09-11,0
351,Home,Brand_50,133.85,2023-03-28,1
352,Grocery,Brand_83,10.62,2021-09-28,0
353,Sports,Brand_58,71.01,2021-05-18,1
354,Home,Brand_46,74.59,2023-09-19,1
355,Fashion,Brand_79,63.61,2021-12-24,1
356,Electronics,Brand_25,33.53,2021-10-11,0
357,Fashion,Brand_24,64.79,2023-03-21,1
358,Home,Brand_82,115.94,2021-10-17,1
359,Beauty,Brand_65,39.15,2022-07-16,0
360,Fashion,Brand_46,40.26,2023-05-23,0
361,Grocery,Brand_18,11.83,2022-08-30,0
362,Electronics,Brand_21,137.36,2022-04-23,1
363,Sports,Brand_87,90.88,2021-03-03,1
364,Home,Brand_60,67.46,2022-04-13,1
365,Electronics,Brand_38,152.37,2023-02-24,1
366,Sports,Brand_81,49.1,2023-12-13,0
367,Electronics,Brand_4,115.66,2023-09-13,1
368,Electronics,Brand_15,166.56,2021-01-28,1
369,Fashion,Brand_80,99.64,2021-03-14,1
370,Beauty,Brand_55,46.78,2023-04-02,0
371,Home,Brand_42,117.67,2023-09-30,1
372,Electronics,Brand_24,160.92,2023-07-19,1
373,Home,Brand_20,97.5,2022-07-13,1
374,Home,Brand_88,146.28,2022-11-19,1
375,Grocery,Brand_88,9.43,2022-10-22,0
376,Home,Brand_95,102.65,2023-01-03,1
377,Electronics,Brand_26,59.51,2022-07-31,0
378,Home,Brand_20,113.72,2021-07-23,1
379,Fashion,Brand_45,33.33,2023-03-22,0
380,Electronics,Brand_32,116.8,2022-12-18,1
381,Grocery,Brand_7,21.18,2022-11-01,0
382,Fashion,Brand_52,73.21,2023-02-12,1
383,Electronics,Brand_25,130.42,2023-03-13,1
384,Grocery,Brand_55,18.13,2021-05-07,0
385,Home,Brand_40,44.24,2022-07-14,0
386,Fashion,Brand_5,28.55,2021-05-30,0
387,Fashion,Brand_34,31.22,2023-07-29,0
388,Home,Brand_55,131.92,2023-07-12,1
389,Grocery,Brand_17,21.15,2021-06-27,0
390,Electronics,Brand_35,160.72,2023-08-02,1
391,Electronics,Brand_76,123.95,2021-12-13,1
392,Grocery,Brand_52,11.94,2022-07-08,0
393,Fashion,Brand_91,52.35,2022-09-05,0
394,Home,Brand_60,98.01,2021-08-17,1
395,Home,Brand_67,185.92,2023-12-07,1
396,Home,Brand_96,187.2,2023-04-11,1
397,Fashion,Brand_6,83.55,2022-06-20,1
398,Electronics,Brand_64,70.18,2022-01-13,1
399,Home,Brand_60,87.85,2021-11-03,1
400,Grocery,Brand_23,15.93,2022-07-02,0
401,Fashion,Brand_89,59.81,2022-09-07,0
402,Electronics,Brand_8,110.15,2021-11-26,1
403,Beauty,Brand_61,31.57,2022-04-20,0
404,Home,Brand_8,58.71,2022-12-10,0
405,Grocery,Brand_28,24.95,2023-08-02,0
406,Fashion,Brand_32,53.54,2023-11-14,0
407,Sports,Brand_83,78.51,2021-11-06,1
408,Grocery,Brand_39,14.64,2022-01-08,0
409,Fashion,Brand_31,40.81,2022-07-12,0
410,Fashion,Brand_97,56.19,2023-10-08,0
411,Electronics,Brand_33,135.91,2023-01-27,1
412,Home,Brand_74,203.07,2021-12-25,1
413,Sports,Brand_78,34.95,2023-12-14,0
414,Sports,Brand_62,70.11,2023-01-27,1
415,Beauty,Brand_27,40.91,2021-03-29,0
416,Fashion,Brand_14,30.67,2022-02-14,0
417,Sports,Brand_57,99.3,2022-11-08,1
418,Electronics,Brand_80,166.55,2021-12-15,1
419,Fashion,Brand_87,63.65,2021-03-23,1
420,Beauty,Brand_96,14.53,2023-02-03,0
421,Fashion,Brand_100,124.6,2023-07-27,1
422,Fashion,Brand_16,86.6,2022-01-11,1
423,Sports,Brand_31,68.68,2022-01-17,1
424,Home,Brand_59,95.85,2023-04-30,1
425,Sports,Brand_38,52.28,2021-02-04,0
426,Grocery,Brand_22,6.68,2022-11-20,0
427,Grocery,Brand_27,11.31,2022-09-26,0
428,Electronics,Brand_100,75.4,2022-03-28,1
429,Home,Brand_25,73.38,2022-11-06,1
430,Electronics,Brand_46,108.99,2022-10-20,1
431,Grocery,Brand_68,21.51,2023-08-31,0
432,Grocery,Brand_70,8.86,2023-02-14,0
433,Beauty,Brand_3,26.01,2023-11-21,0
434,Electronics,Brand_62,84.24,2021-01-16,1
435,Electronics,Brand_16,94.35,2021-05-14,1
436,Home,Brand_82,132.4,2023-02-22,1
437,Sports,Brand_97,95.26,2023-06-24,1
438,Home,Brand_29,86.44,2021-08-02,1
439,Fashion,Brand_4,34.84,2022-02-01,0
440,Fashion,Brand_45,86.75,2023-11-02,1
441,Grocery,Brand_18,19.85,2022-05-18,0
442,Fashion,Brand_71,44.73,2021-05-19,0
443,Electronics,Brand_99,148.63,2023-01-20,1
444,Sports,Brand_32,81.15,2022-03-20,1
445,Sports,Brand_40,54.94,2023-08-21,0
446,Home,Brand_3,74.12,2023-04-16,1
447,Home,Brand_78,83.06,2023-04-27,1
